EG(+)		EG(-)		EG(+)& St(+)		EG(+)& St(-)		EG(-)& St(+)		EG(-)& St(-)	
3822	CR	CDS	882346	882690	-	+	-1211206	+	
3824	CR	CDS	1040847	1041623	-	-	-1052273	+	
3826	CR	CDS	882703	883113	-	-	-1210783	+	
3828	CR	CDS	1041677	1042798	-	-	-1051098	+	
3830	CR	CDS	883124	883894	-	-	-1210002	+	
3832	CR	CDS	1043355	1044902	+	+	-1050541	+	
3834	CR	CDS	883887	885686	-	-	-1208210	+	
3836	CR	CDS	1044988	1046064	+	+	-1048908	+	
3838	CR	CDS	885898	886869	+	+	-1207998	+	
3840	CR	CDS	1046240	1047649	+	+	-1047656	+	
3842	CR	CDS	887135	887818	-	-	-1206078	+	
3844	CR	CDS	1047673	1048275	+	+	-1046223	+	
3846	CR	CDS	887872	888441	-	-	-1205455	+	
3848	CR	CDS	1048389	1053473	-	-	-1040423	+	
3850	CR	CDS	888351	889367	-	-	-1204529	+	
3852	CR	CDS	1053715	1054794	-	-	-1039102	+	
3854	CR	CDS	889493	889711	+	-	-1204403	+	
3856	CR	CDS	1054796	1055896	-	+	-1038000	+	
3858	CR	CDS	889713	891470	+	-	-1204183	+	
3860	CR	CDS	1055909	1057273	-	+	-1036623	+	
3862	CR	CDS	891668	892498	+	-	-1202228	+	
3864	CR	CDS	1057465	1060203	-	+	-1033693	+	
3866	CR	CDS	892522	892659	+	-	-1201374	+	
3868	CR	CDS	1060231	1062108	-	-	-1031788	+	
3870	CR	CDS	892798	893376	-	-	-1200520	+	
3872	CR	ND	1062206	1063651	+	-	-1031690	+	
3874	CR	CDS	893463	893729	+	-	-1200433	+	
3876	CR	CDS	1063832	1063966	+	+	-1030064	+	
3878	CR	CDS	893740	894357	+	-	-1200156	+	
3880	CR	CDS	1063986	1064345	+	+	-1029910	+	
3882	CR	CDS	894419	894754	+	-	-1199477	+	
3884	CR	CDS	1064309	1064569	+	-	-1029587	+	
3886	CR	CDS	894898	895989	+	-	-1198998	+	
3888	CR	CDS	1064569	1066194	+	+	-1029327	+	
3890	CR	CDS	895971	896744	+	-	-1197925	+	
3892	CR	CDS	1066325	1067710	+	-	-1027571	+	
3894	CR	CDS	896738	897172	+	-	-1197158	+	
3896	CR	CDS	1067898	1069767	+	-	-1025998	+	
3898	CR	CDS	897574	898110	+	+	-1196322	+	
3900	CR	CDS	1069855	1071414	+	-	-1024041	+	
3902	CR	CDS	898107	899498	+	-	-1195789	+	
3904	CR	CDS	1071484	1071999	+	+	-1022412	+	
3906	CR	CDS	899639	901288	+	-	-1194257	+	
3908	CR	CDS	1071996	1072940	+	-	-1021900	+	
3910	CR	CDS	901464	902225	+	-	-1192432	+	
3912	CR	CDS	1073118	1073456	+	-	-1020778	+	
3914	CR	CDS	902362	902709	-	-	-1191187	+	
3916	CR	CDS	1073504	1074274	-	-	-1019622	+	
3918	CR	CDS	902724	905516	-	-	-1188380	+	
3920	CR	CDS	1074433	1075338	+	-	-1019463	+	
3922	CR	CDS	905665	905967	+	-	-1188231	+	
3924	CR	CDS	1075341	1076582	+	-	-1018555	+	
3926	CR	miscRNA	906073	906271	+	-	-1187823	+	
3928	CR	CDS	1076579	1077211	+	-	-1017317	+	
3930	CR	CDS	906285	906848	+	-	-1187611	+	
3932	CR	CDS	1077214	1077990	+	-	-1016682	+	
3934	CR	CDS	906976	909546	+	+	-1186920	+	
3936	CR	CDS	1078046	1078993	+	-	-1015850	+	
3938	CR	CDS	909583	910323	-	-	-1183573	+	
3940	CR	CDS	1079002	1080468	+	+	-1014894	+	
3942	CR	CDS	910379	912727	-	-	-1181169	+	
3944	CR	CDS	1080488	1080916	+	-	-1013408	+	
3946	CR	CDS	912919	913626	-	-	-1180270	+	
3948	CR	ND	1081154	1081795	+	-	-1012742	+	
3950	CR	CDS	913819	914451	+	-	-1180077	+	
3952	CR	ND	1081941	1082514	-	-	-1011382	+	
3954	CR	CDS	914539	916389	-	-	-1177507	+	
3956	CR	CDS	1082773	1083771	+	-	-1011123	+	
3958	CR	CDS	916620	918038	+	+	-1177276	+	
3960	CR	CDS	1083776	1085392	+	-	-1010120	+	
3962	CR	CDS	918515	919138	+	-	-1175381	+	
3964	CR	CDS	1085376	1086023	+	-	-1008520	+	
3966	CR	CDS	919376	920590	+	-	-1174520	+	
3968	CR	CDS	1086136	1087137	+	+	-1007760	+	
3970	CR	CDS	920571	921323	+	-	-1173325	+	
3972	CR	CDS	1087262	1089259	-	+	-1004637	+	
3974	CR	CDS	921298	921846	+	-	-1172598	+	
3976	CR	CDS	1089388	1090065	-	-	-1003831	+	
3978	CR	CDS	921935	922039	+	-	-1171961	+	
3980	CR	CDS	1090115	1090810	-	-	-1003086	+	
3982	CR	CDS	923293	924213	+	-	-1170603	+	
3984	CR	CDS	1090804	1091664	-	-	-1002232	+	
3986	CR	CDS	924206	925621	+	-	-1169690	+	
3988	CR	CDS	1091678	1093135	-	+	-1000761	+	
3990	CR	CDS	925683	926696	+	+	-1168213	+	
3992	CR	CDS	1093194	1094180	-	-	-999716	+	
3994	CR	CDS	926749	927948	-	-	-1165948	+	
3996	CR	CDS	1094211	1095488	-	-	-998408	+	
3998	CR	ND	927931	929402	+	-	-1165965	+	
4000	CR	CDS	1095485	1095970	-	-	-997926	+	
4002	CR	CDS	929409	929834	+	-	-1164487	+	
4004	CR	CDS	1096042	1097040	-	-	-996856	+	
4006	CR	CDS	929904	931076	-	-	-1162820	+	
4008	CR	CDS	1097216	1098022	+	-	-996680	+	
4010	CR	CDS	931104	932024	-	-	-1161872	+	
4012	CR	CDS	1098172	1099116	+	-	-995724	+	
4014	CR	CDS	932105	932362	-	-	-1161534	+	
4016	CR	CDS	1099134	1099625	+	-	-994762	+	
4018	CR	CDS	932383	932694	-	-	-1161202	+	
4020	CR	CDS	1099920	1100867	+	-	-993976	+	
4022	CR	CDS	932907	933896	+	+	-1160989	+	
4024	CR	CDS	933947	934684	+	-	-1159949	+	
4026	CR	CDS	1100867	1101412	+	-	-993029	+	
4028	CR	CDS	1101593	1102477	-	-	-991419	+	
4030	CR	CDS	934743	936113	-	-	-1157783	+	
4032	CR	CDS	1102856	1104058	+	-	-991040	+	
4034	CR	CDS	936511	937221	-	-	-1156675	+	
4036	CR	CDS	1104411	1105415	+	-	-989485	+	
4038	CR	CDS	937413	939152	+	-	-1156483	+	
4040	CR	CDS	1105412	1106326	+	-	-988484	+	
4042	CR	CDS	939264	939668	+	-	-1154632	+	
4044	CR	ND	1106472	1108324	-	-	-985572	+	
4046	CR	CDS	939856	941454	+	-	-1154040	+	
4048	CR	CDS	1108431	1108931	-	+	-984965	+	
4050	CR	CDS	941550	942839	+	+	-1152346	+	
4052	CR	CDS	1108931	1109542	-	-	-984354	+	
4054	CR	CDS	942963	944228	+	-	-1150933	+	
4056	CR	CDS	944299	944919	+	-	-1149597	+	
4058	CR	CDS	1109654	1110493	-	+	-983403	+	
4060	CR	CDS	944912	945118	+	-	-1148984	+	
4062	CR	CDS	1110495	1111112	-	+	-982784	+	
4064	CR	CDS	945227	946483	+	+	-1148669	+	
4066	CR	CDS	1111123	1113543	-	+	-980353	+	
4068	CR	CDS	946725	947288	+	-	-1147171	+	
4070	CR	CDS	1113797	1114906	+	-	-980099	+	
4072	CR	CDS	947368	948516	+	-	-1146528	+	
4074	CR	CDS	1114948	1115241	+	+	-978948	+	
4076	CR	CDS	948516	951614	+	-	-1145380	+	
4078	CR	CDS	1115250	1115528	+	-	-978646	+	
4080	CR	CDS	952004	952618	+	-	-1141892	+	
4082	CR	CDS	1115653	1117497	-	-	-976399	+	
4084	CR	CDS	952635	954167	-	+	-1139729	+	
4086	CR	CDS	1117575	1118471	-	-	-975425	+	
4088	CR	CDS	954177	955349	-	-	-1138547	+	
4090	CR	CDS	1118583	1118924	+	-	-975313	+	
4092	CR	CDS	955532	956014	-	+	-1137882	+	
4094	CR	CDS	1119024	1120406	-	-	-973490	+	
4096	CR	CDS	956115	957221	+	-	-1137781	+	
4098	CR	CDS	1120294	1121811	-	-	-972085	+	
4100	CR	CDS	957302	957892	+	-	-1136594	+	
4102	CR	CDS	1121801	1123690	-	-	-970206	+	
4104	CR	CDS	957892	958686	+	-	-1136004	+	
4106	CR	CDS	958695	959501	+	+	-1135201	+	
4108	CR	CDS	1123464	1124048	-	-	-969848	+	
4110	CR	CDS	959511	960362	+	-	-1134385	+	
4112	CR	CDS	1124264	1124857	-	+	-969039	+	
4114	CR	CDS	960362	960883	+	-	-1133534	+	
4116	CR	CDS	1124850	1126022	-	-	-967874	+	
4118	CR	CDS	960911	961225	-	-	-1132671	+	
4120	CR	CDS	1126089	1126877	-	-	-967019	+	
4122	CR	CDS	961305	961607	+	-	-1132591	+	
4124	CR	CDS	1126891	1127337	-	+	-966559	+	
4126	CR	CDS	961732	964437	+	-	-1132164	+	
4128	CR	CDS	1127423	1127635	-	-	-966261	+	
4130	CR	CDS	964502	964912	+	-	-1129394	+	
4132	CR	CDS	1127596	1129038	-	-	-964858	+	
4134	CR	CDS	965021	966877	+	+	-1128875	+	
4136	CR	CDS	1129110	1129823	+	+	-964786	+	
4138	CR	CDS	1130062	1131027	-	-	-962869	+	
4140	CR	CDS	966978	967742	+	-	-1126918	+	
4142	CR	CDS	1131024	1131701	-	-	-962195	+	
4144	CR	CDS	967920	968642	+	+	-1125976	+	
4146	CR	CDS	1131698	1132345	-	+	-961551	+	
4148	CR	CDS	968775	969626	+	-	-1125121	+	
4150	CR	CDS	1132422	1134038	-	+	-959858	+	
4152	CR	CDS	969806	970831	-	+	-1123065	+	
4154	CR	CDS	1134200	1138042	-	-	-955854	+	
4156	CR	CDS	970844	971437	-	-	-1122459	+	
4158	CR	CDS	1138111	1138485	-	-	-955411	+	
4160	CR	CDS	971545	973932	-	-	-1119964	+	
4162	CR	CDS	1138486	1138938	-	-	-954958	+	
4164	CR	CDS	973952	975283	-	-	-1118613	+	
4166	CR	CDS	1139203	1140339	-	+	-953557	+	
4168	CR	CDS	975293	976159	-	-	-1117737	+	
4170	CR	CDS	1140354	1141919	-	+	-951977	+	
4172	CR	CDS	976177	976896	-	-	-1117000	+	
4174	CR	CDS	1142571	1144208	+	+	-951325	+	
4176	CR	CDS	977145	979730	+	+	-1116751	+	
4178	CR	ND	1144501	1145035	-	-	-948861	+	
4180	CR	CDS	979825	980328	+	-	-1114071	+	
4182	CR	CDS	1145211	1145978	-	-	-947918	+	
4184	CR	CDS	980328	981362	+	+	-1113568	+	
4186	CR	CDS	1145988	1146704	-	-	-947192	+	
4188	CR	tRNA	981435	981511	-	-	-1112385	+	
4190	CR	CDS	1146688	1147461	-	-	-946435	+	
4192	CR	CDS	981597	983663	-	+	-1110233	+	
4194	CR	CDS	1147762	1149036	-	-	-944860	+	
4196	CR	CDS	984000	984365	-	-	-1109531	+	
4198	CR	CDS	1149047	1149304	-	-	-944592	+	
4200	CR	CDS	984395	984655	-	-	-1109241	+	
4202	CR	CDS	1149325	1149642	-	-	-944254	+	
4204	CR	CDS	984714	985622	-	-	-1108274	+	
4206	CR	CDS	1149653	1150297	-	-	-943599	+	
4208	CR	CDS	985888	987414	+	-	-1108008	+	
4210	CR	CDS	1150327	1150830	-	-	-943066	+	
4212	CR	CDS	987646	988827	-	-	-1105069	+	
4214	CR	CDS	1150841	1151626	-	-	-942270	+	
4216	CR	CDS	988828	989448	-	-	-1104448	+	
4218	CR	CDS	1151623	1152417	-	-	-941479	+	
4220	CR	CDS	989421	989840	-	-	-1104056	+	
4222	CR	CDS	1152847	1153494	-	-	-940402	+	
4224	CR	CDS	989924	991234	-	-	-1102662	+	
4226	CR	CDS	1153743	1154381	+	-	-940153	+	
4228	CR	CDS	991355	992560	-	-	-1101336	+	
4230	CR	CDS	1154386	1155051	+	-	-939510	+	
4232	CR	CDS	992557	993711	-	-	-1100185	+	
4234	CR	CDS	1155109	1155849	+	-	-938787	+	
4236	CR	CDS	993708	994238	-	-	-1099658	+	
4238	CR	CDS	1155891	1156094	+	-	-938005	+	
4240	CR	CDS	994238	996145	-	-	-1097751	+	
4242	CR	CDS	1156091	1156612	+	+	-937805	+	
4244	CR	CDS	996254	997057	-	-	-1096839	+	
4246	CR	CDS	1156609	1158555	+	+	-937287	+	
4248	CR	CDS	997258	997770	+	-	-1096638	+	
4250	CR	CDS	1158694	1159239	+	-	-935202	+	
4252	CR	CDS	997770	998486	+	-	-1096126	+	
4254	CR	CDS	1159239	1159700	+	+	-934657	+	
4256	CR	CDS	998486	999169	+	-	-1095410	+	
4258	CR	CDS	1159701	1160618	+	-	-934195	+	
4260	CR	CDS	999144	999449	+	-	-1094752	+	
4262	CR	CDS	1161103	1161237	+	-	-932793	+	
4264	CR	CDS	999495	1002860	+	-	-1094401	+	
4266	CR	CDS	1161239	1161547	+	-	-932657	+	
4268	CR	CDS	1002915	1003364	+	-	-1090981	+	
4270	CR	CDS	1161552	1163564	-	+	-930332	+	
4272	CR	CDS	1003367	1004485	+	-	-1090529	+	
4274	CR	CDS	1163676	1164662	-	-	-929234	+	
4276	CR	CDS	1004486	1005508	+	-	-1089410	+	
4278	CR	CDS	1164815	1165633	+	+	-929081	+	
4280	CR	CDS	1005582	1006397	-	-	-1087499	+	
4282	CR	CDS	1165732	1166682	+	-	-928164	+	
4284	CR	CDS	1006630	1008165	-	-	-1085731	+	
4286	CR	CDS	1167406	1168629	+	-	-926490	+	
4288	CR	CDS	1008185	1008583	-	-	-1085313	+	
4290	CR	CDS	1168738	1169778	-	+	-924118	+	
4292	CR	CDS	1008583	1008816	-	-	-1085080	+	
4294	CR	CDS	1169854	1171017	-	-	-922879	+	
4296	CR	CDS	1008963	1010327	-	-	-1083569	+	
4298	CR	CDS	1171129	1172535	-	+	-921361	+	
4300	CR	CDS	1010675	1010845	-	-	-1083051	+	
4302	CR	ND	1172537	1173709	-	-	-920187	+	
4304	CR	CDS	1010857	1011093	-	-	-1082803	+	
4306	CR	CDS	1173984	1175111	-	-	-918785	+	
4308	CR	CDS	1011307	1011972	-	-	-1081924	+	
4310	CR	CDS	1175115	1176626	-	-	-917270	+	
4312	CR	CDS	1012136	1013338	+	-	-1081760	+	
4314	CR	CDS	1176677	1177675	-	-	-916221	+	
4316	CR	CDS	1013386	1013841	+	-	-1080510	+	
4318	CR	CDS	1177909	1179228	+	-	-915987	+	
4320	CR	CDS	1013845	1014501	+	-	-1080051	+	
4322	CR	CDS	1179231	1180766	+	-	-914665	+	
4324	CR	CDS	1014523	1014693	+	-	-1079373	+	
4326	CR	CDS	1180817	1181743	-	-	-912153	+	
4328	CR	CDS	1014760	1015434	+	-	-1079136	+	
4330	CR	CDS	1181796	1182299	-	-	-911597	+	
4332	CR	CDS	1015799	1016977	-	-	-1076919	+	
4334	CR	CDS	1182410	1183081	+	-	-911486	+	
4336	CR	CDS	1016970	1018025	-	-	-1075871	+	
4338	CR	CDS	1183115	1184644	-	+	-909252	+	
4340	CR	CDS	1018029	1018379	-	-	-1075517	+	
4342	CR	CDS	1184759	1185376	-	-	-908520	+	
4344	CR	CDS	1018379	1018729	-	-	-1075167	+	
4346	CR	CDS	1185469	1186347	+	+	-908427	+	
4348	CR	ND	1018846	1021671	-	-	-1072225	+	
4350	CR	CDS	1186387	1187385	-	-	-906511	+	
4352	CR	CDS	1021700	1022638	-	-	-1071258	+	
4354	CR	CDS	1187382	1188353	-	-	-905543	+	
4356	CR	CDS	1022673	1024205	-	-	-1069691	+	
4358	CR	CDS	1188363	1189298	-	-	-904598	+	
4360	CR	CDS	1024514	1024777	+	-	-1069382	+	
4362	CR	CDS	1189308	1190228	-	-	-903668	+	
4364	CR	CDS	1024850	1025416	-	-	-1068480	+	
4366	CR	CDS	1190309	1191934	-	-	-901962	+	
4368	CR	CDS	1025442	1025546	+	-	-1068454	+	
4370	CR	CDS	1192230	1193183	+	-	-901666	+	
4372	CR	CDS	1025562	1026419	+	+	-1068334	+	
4374	CR	CDS	1026452	1027477	+	-	-1067444	+	
4376	CR	ND	1194246	1195848	+	-	-899650	+	
4378	CR	CDS	1027535	1027984	+	-	-1066361	+	
4380	CR	CDS	1196050	1196505	+	-	-897846	+	
4382	CR	CDS	1028137	1028604	+	-	-1065759	+	
4384	CR	CDS	1196536	1197501	+	-	-897360	+	
4386	CR	CDS	1028779	1030125	+	+	-1065117	+	
4388	CR	CDS	1197504	1197827	+	+	-896392	+	
4390	CR	CDS	1030275	1031144	+	-	-1063621	+	
4392	CR	CDS	1197840	1199672	+	-	-896056	+	
4394	CR	ND	1031208	1032653	+	-	-1062688	+	
4396	CR	CDS	1199682	1201148	+	-	-894214	+	
4398	CR	CDS	1032765	1033022	+	-	-1061131	+	
4400	CR	CDS	1201162	1202535	+	-	-892734	+	
4402	CR	CDS	1033019	1034473	+	+	-1060877	+	
4404	CR	CDS	1202529	1203611	+	-	-891367	+	
4406	CR	CDS	1034593	1034979	+	-	-1059303	+	
4408	CR	CDS	1203734	1205047	+	+	-890162	+	
4410	CR	CDS	1034952	1035464	+	-	-1058944	+	
4412	CR	CDS	1205069	1206253	+	-	-888827	+	
4414	CR	CDS	1035466	1036041	+	+	-1058430	+	
4416	CR	CDS	1206265	1207320	+	+	-887631	+	
4418	CR	CDS	1036082	1036972	+	+	-1057814	+	
4420	CR	CDS	1207458	1208885	+	+	-886438	+	
4422	CR	CDS	1037121	1038113	+	-	-1056775	+	
4424	CR	CDS	1208957	1209877	+	+	-884939	+	
4426	CR	CDS	1038094	1038393	+	-	-1055802	+	
4428	CR	CDS	1209877	1210641	+	+	-884019	+	
4430	CR	CDS	1038488	1038973	-	+	-1054923	+	
4432	CR	CDS	1210660	1211937	+	+	-883236	+	
4434	CR	CDS	1039212	1040177	-	+	-1053719	+	
4436	CR	CDS	1212021	1213286	+	+	-881875	+	
4438	CR	CDS	1040273	1040854	-	-	-1053042	+	
4440	CR	CDS	1213325	1214242	+	-	-880571	+	
4442	CR	CDS	1040847	1041623	-	-	-1052273	+	
4444	CR	CDS	1214369	1215526	+	+	-879527	+	
4446	CR	CDS	1041677	1042798	-	-	-1051098	+	
4448	CR	CDS	1215571	1216428	-	-	-877468	+	
4450	CR	CDS	1043355	1044902	+	+	-1050541	+	
4452	CR	CDS	1216446	1216940	-	+	-876956	+	
4454	CR	CDS	1044988	1046064	+	+	-1048908	+	
4456	CR	CDS	1216943	1217668	-	-	-876228	+	
4458	CR	CDS	1046240	1047649	+	+	-1047656	+	
4460	CR	CDS	1217672	1218190	-	-	-875706	+	
4462	CR	CDS	1047673	1048275	+	+	-1046223	+	
4464	CR	CDS	1218171	1218785	-	-	-875111	+	
4466	CR	CDS	1048389	1053473	-	-	-1040423	+	
4468	CR	CDS	1218836	1219372	-	-	-874524	+	
4470	CR	CDS	1053715	1054794	-	-	-1039102	+	
4472	CR	CDS	1219461	1220816	+	+	-874435	+	
4474	CR	CDS	1054796	1055896	-	+	-1038000	+	
4476	CR	CDS	1221027	1221566	+	-	-872869	+	
4478	CR	CDS	1055909	1057273	-	+	-1036623	+	
4480	CR	CDS	1221872	1223194	+	-	-872024	+	
4482	CR	CDS	1057465	1060203	-	+	-1033693	+	
4484	CR	CDS	1223294	1223761	-	-	-870135	+	
4486	CR	CDS	1060231	1062108	-	-	-1031788	+	
4488	CR	miscRNA	1223883	1223996	+	-	-870013	+	
4490	CR	ND	1062206	1063651	+	-	-1031690	+	
4492	CR	CDS	1224009	1225739	-	-	-868157	+	
4494	CR	CDS	1063832	1063966	+	+	-1030064	+	
4496	CR	CDS	1225739	1227499	-	-	-866397	+	
4498	CR	CDS	1063986	1064345	+	+	-1029910	+	
4500	CR	CDS	1227571	1228527	-	-	-865369	+	
4502	CR	CDS	1064309	1064569	+	-	-1029587	+	
4504	CR	CDS	1228601	1229459	-	-	-864437	+	
4506	CR	CDS	1064569	1066194	+	+	-1029327	+	
4508	CR	CDS	1229539	1230510	-	+	-863386	+	
4510	CR	CDS	1066325	1067710	+	-	-1027571	+	
4512	CR	CDS	1230507	1230923	-	-	-862973	+	
4514	CR	CDS	1067898	1069767	+	-	-1025998	+	
4516	CR	CDS	1231372	1231845	-	-	-862051	+	
4518	CR	CDS	1069855	1071414	+	-	-1024041	+	
4520	CR	CDS	1231849	1234932	-	-	-858964	+	
4522	CR	CDS	1071484	1071999	+	+	-1022412	+	
4524	CR	CDS	1235301	1236362	+	-	-858595	+	
4526	CR	CDS	1071996	1072940	+	-	-1021900	+	
4528	CR	CDS	1236513	1236836	+	-	-857383	+	
4530	CR	CDS	1073118	1073456	+	-	-1020778	+	
4532	CR	CDS	1236913	1238013	-	-	-855883	+	
4534	CR	CDS	1073504	1074274	-	-	-1019622	+	
4536	CR	CDS	1238101	1239189	-	-	-854707	+	
4538	CR	CDS	1074433	1075338	+	-	-1019463	+	
4540	CR	CDS	1239380	1239724	+	-	-854516	+	
4542	CR	CDS	1075341	1076582	+	-	-1018555	+	
4544	CR	ND	1239765	1241317	-	-	-852579	+	
4546	CR	CDS	1076579	1077211	+	-	-1017317	+	
4548	CR	CDS	1241359	1241940	+	+	-852537	+	
4550	CR	CDS	1077214	1077990	+	-	-1016682	+	
4552	CR	CDS	1242025	1243179	+	-	-851871	+	
4554	CR	CDS	1078046	1078993	+	-	-1015850	+	
4556	CR	CDS	1243518	1243988	+	+	-850378	+	
4558	CR	CDS	1079002	1080468	+	+	-1014894	+	
4560	CR	CDS	1244067	1244552	+	-	-849829	+	
4562	CR	CDS	1080488	1080916	+	-	-1013408	+	
4564	CR	CDS	1245169	1245852	-	-	-848044	+	
4566	CR	ND	1081154	1081795	+	-	-1012742	+	
4568	CR	CDS	1245852	1246517	-	-	-847379	+	
4570	CR	ND	1081941	1082514	-	-	-1011382	+	
4572	CR	CDS	1246521	1247240	-	+	-846656	+	
4574	CR	CDS	1082773	1083771	+	-	-1011123	+	
4576	CR	CDS	1247258	1247989	-	+	-845907	+	
4578	CR	CDS	1083776	1085392	+	-	-1010120	+	
4580	CR	CDS	1248116	1248700	-	-	-845196	+	
4582	CR	CDS	1085376	1086023	+	-	-1008520	+	
4584	CR	ND	1248907	1249712	+	-	-844989	+	
4586	CR	CDS	1086136	1087137	+	+	-1007760	+	
4588	CR	CDS	1249741	1250724	-	+	-843172	+	
4590	CR	CDS	1087262	1089259	-	+	-1004637	+	
4592	CR	CDS	1250727	1251719	-	+	-842177	+	
4594	CR	CDS	1089388	1090065	-	-	-1003831	+	
4596	CR	CDS	1251729	1252616	-	-	-841280	+	
4598	CR	CDS	1090115	1090810	-	-	-1003086	+	
4600	CR	CDS	1252631	1253602	-	-	-840294	+	
4602	CR	CDS	1090804	1091664	-	-	-1002232	+	
4604	CR	CDS	1253722	1255905	-	+	-837991	+	
4606	CR	CDS	1091678	1093135	-	+	-1000761	+	
4608	CR	CDS	1256516	1257151	-	-	-836745	+	
4610	CR	CDS	1093194	1094180	-	-	-999716	+	
4612	CR	CDS	1257152	1257577	-	-	-836319	+	
4614	CR	CDS	1094211	1095488	-	-	-998408	+	
4616	CR	CDS	1257667	1258257	-	-	-835639	+	
4618	CR	CDS	1095485	1095970	-	-	-997926	+	
4620	CR	CDS	1258413	1258556	+	-	-835483	+	
4622	CR	CDS	1096042	1097040	-	-	-996856	+	
4624	CR	CDS	1258603	1259634	-	-	-834262	+	
4626	CR	CDS	1097216	1098022	+	-	-996680	+	
4628	CR	CDS	1260108	1261001	+	+	-833788	+	
4630	CR	CDS	1098172	1099116	+	-	-995724	+	
4632	CR	CDS	1260994	1262085	+	-	-832902	+	
4634	CR	CDS	1099134	1099625	+	-	-994762	+	
4636	CR	CDS	1262121	1263290	+	-	-831775	+	
4638	CR	CDS	1099920	1100867	+	-	-993976	+	
4640	CR	CDS	1263290	1264171	+	-	-830606	+	
4642	CR	CDS	1100867	1101412	+	-	-993029	+	
4644	CR	CDS	1264292	1264915	+	-	-829604	+	
4646	CR	CDS	1101593	1102477	-	-	-991419	+	
4648	CR	CDS	1264963	1266036	+	-	-828933	+	
4650	CR	CDS	1102856	1104058	+	-	-991040	+	
4652	CR	CDS	1266047	1267018	+	-	-827849	+	
4654	CR	CDS	1104411	1105415	+	-	-989485	+	
4656	CR	CDS	1267077	1268021	-	-	-825875	+	
4658	CR	CDS	1105412	1106326	+	-	-988484	+	
4660	CR	CDS	1268132	1268656	+	-	-825764	+	
4662	CR	ND	1106472	1108324	-	-	-985572	+	
4664	CR	CDS	1268731	1270866	-	-	-823030	+	
4666	CR	CDS	1108431	1108931	-	+	-984965	+	
4668	CR	CDS	1270934	1272139	-	-	-821757	+	
4670	CR	CDS	1108931	1109542	-	-	-984354	+	
4672	CR	CDS	1272354	1272797	+	-	-821542	+	
4674	CR	CDS	1109654	1110493	-	+	-983403	+	
4676	CR	CDS	1272884	1273375	+	-	-821012	+	
4678	CR	CDS	1110495	1111112	-	+	-982784	+	
4680	CR	CDS	1273386	1274903	+	-	-820510	+	
4682	CR	CDS	1111123	1113543	-	+	-980353	+	
4684	CR	CDS	1274958	1275848	-	-	-818048	+	
4686	CR	CDS	1113797	1114906	+	-	-980099	+	
4688	CR	CDS	1275848	1276303	-	-	-817593	+	
4690	CR	CDS	1114948	1115241	+	+	-978948	+	
4692	CR	CDS	1276510	1277445	+	+	-817386	+	
4694	CR	CDS	1115250	1115528	+	-	-978646	+	
4696	CR	CDS	1277530	1279038	-	-	-814858	+	
4698	CR	CDS	1115653	1117497	-	-	-976399	+	
4700	CR	ND	1279189	1280287	-	-	-813609	+	
4702	CR	CDS	1117575	1118471	-	-	-975425	+	
4704	CR	CDS	1280420	1281109	+	+	-813476	+	
4706	CR	CDS	1118583	1118924	+	-	-975313	+	
4708	CR	CDS	1281398	1283125	+	-	-812498	+	
4710	CR	CDS	1119024	1120406	-	-	-973490	+	
4712	CR	CDS	1283130	1283825	+	-	-810766	+	
4714	CR	CDS	1120294	1121811	-	-	-972085	+	
4716	CR	CDS	1283822	1284511	+	-	-810074	+	
4718	CR	CDS	1121801	1123690	-	-	-970206	+	
4720	CR	CDS	1284588	1287329	-	-	-806567	+	
4722	CR	CDS	1123464	1124048	-	-	-969848	+	
4724	CR	CDS	1287584	1289182	-	-	-804714	+	
4726	CR	CDS	1124264	1124857	-	+	-969039	+	
4728	CR	CDS	1289456	1290157	+	+	-804440	+	
4730	CR	CDS	1124850	1126022	-	-	-967874	+	
4732	CR	CDS	1290233	1291882	+	+	-803663	+	
4734	CR	CDS	1126089	1126877	-	-	-967019	+	
4736	CR	CDS	1292005	1292289	+	-	-801891	+	
4738	CR	CDS	1126891	1127337	-	+	-966559	+	
4740	CR	CDS	1292364	1292657	+	-	-801532	+	
4742	CR	CDS	1127423	1127635	-	-	-966261	+	
4744	CR	CDS	1292657	1293847	+	-	-801239	+	
4746	CR	CDS	1127596	1129038	-	-	-964858	+	
4748	CR	CDS	1293871	1294563	+	-	-800025	+	
4750	CR	CDS	1129110	1129823	+	+	-964786	+	
4752	CR	CDS	1294570	1294890	+	-	-799326	+	
4754	CR	CDS	1130062	1131027	-	-	-962869	+	
4756	CR	CDS	1294919	1295614	-	-	-798282	+	
4758	CR	CDS	1131024	1131701	-	-	-962195	+	
4760	CR	CDS	1295680	1296924	-	-	-796972	+	
4762	CR	CDS	1131698	1132345	-	+	-961551	+	
4764	CR	CDS	1297029	1297655	-	-	-796241	+	
4766	CR	CDS	1132422	1134038	-	+	-959858	+	
4768	CR	CDS	1297779	1299845	-	-	-794051	+	
4770	CR	CDS	1134200	1138042	-	-	-955854	+	
4772	CR	CDS	1299857	1300399	-	+	-793497	+	
4774	CR	CDS	1138111	1138485	-	-	-955411	+	
4776	CR	CDS	1300547	1301983	-	+	-791913	+	
4778	CR	CDS	1138486	1138938	-	-	-954958	+	
4780	CR	CDS	1302097	1303800	-	+	-790096	+	
